name,type_line,oracle_text,colors,cmc,rarity,set_name,released_at,power,toughness,keywords,image_uri
Terminal Velocity,Sorcery,"You may put an artifact or creature card from your hand onto the battlefield. That permanent gains haste, ""When this permanent leaves the battlefield, it deals damage equal to its mana value to each creature,"" and ""At the beginning of your end step, sacrifice this permanent.""",R,6.0,rare,Edge of Eternities,2025-08-01,,,,https://cards.scryfall.io/normal/front/1/d/1d18dc06-16f0-4a3b-8d52-dbf4aa2c393d.jpg?1752947211
"Terra, Magical Adept // Esper Terra",Legendary Creature — Human Wizard Warrior // Legendary Enchantment Creature — Saga Wizard,,Colorless,3.0,mythic,Final Fantasy,2025-06-13,,,"Flying,Transform,Mill,Trance",
Terramorphic Expanse,Land,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",Colorless,0.0,common,Edge of Eternities Commander,2025-08-01,,,,https://cards.scryfall.io/normal/front/7/1/7102269a-e0d1-42a0-aa9d-fdd53b5aaebe.jpg?1752944521
Terrapact Intimidator,Creature — Kavu Scout,"When this creature enters, target opponent may have you create two Lander tokens. If they don't, put two +1/+1 counters on this creature. (A Lander token is an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",R,2.0,uncommon,Edge of Eternities,2025-08-01,2,1,,https://cards.scryfall.io/normal/front/1/3/13fe3358-fd68-4245-a2ad-aa9200cf4655.jpg?1752947219
Terrasymbiosis,Enchantment,"Whenever you put one or more +1/+1 counters on a creature you control, you may draw that many cards. Do this only once each turn.",G,3.0,rare,Edge of Eternities,2025-08-01,,,,https://cards.scryfall.io/normal/front/2/6/26008c7d-5dbe-4da2-b475-4dd307e7bc68.jpg?1752947411
"Terrian, World Tyrant",Legendary Creature — Dinosaur Ooze,,G,5.0,uncommon,Aetherdrift,2025-02-14,9,7,,https://cards.scryfall.io/normal/front/b/4/b44255cf-5264-4ead-9de0-20cc0f7cac6f.jpg?1738356551
Terrific Team-Up,Instant,"This spell costs {2} less to cast if you control a permanent with mana value 4 or greater.
One or two target creatures you control each get +1/+0 until end of turn. They each deal damage equal to their power to target creature an opponent controls.",G,4.0,uncommon,Marvel's Spider-Man,2025-09-26,,,,https://cards.scryfall.io/normal/front/f/3/f3c587b0-66b9-46bf-90ee-a6163c006c9e.jpg?1757377580
Territorial Bruntar,Creature — Beast,"Reach
Landfall — Whenever a land you control enters, exile cards from the top of your library until you exile a nonland card. You may cast that card this turn.",R,6.0,uncommon,Edge of Eternities,2025-08-01,6,6,"Reach,Landfall",https://cards.scryfall.io/normal/front/d/b/dbb25585-6048-4a85-828e-675bf0da6508.jpg?1752947221
Territorial Witchstalker,Creature — Wolf,"Defender
At the beginning of combat on your turn, if you control a creature with power 4 or greater, this creature gets +1/+0 until end of turn and can attack this turn as though it didn't have defender.",G,2.0,common,Wilds of Eldraine,2023-09-08,2,3,Defender,https://cards.scryfall.io/normal/front/2/5/2515d53d-7a50-4da3-980d-91d91fea2020.jpg?1692939094
Territory Forge,Artifact,"When this artifact enters, if you cast it, exile target artifact or land.
This artifact has all activated abilities of the exiled card.",R,5.0,mythic,The Big Score,2024-04-19,,,,https://cards.scryfall.io/normal/front/7/1/71059bc8-f63a-4d9c-9d08-2e995e74cc59.jpg?1739804200
Terror of Mount Velus,Creature — Dragon,"Flying
Double strike (This creature deals both first-strike and regular combat damage.)
When this creature enters, creatures you control gain double strike until end of turn.",R,7.0,rare,Foundations,2024-11-15,5,5,"Flying,Double strike",https://cards.scryfall.io/normal/front/3/9/3959a6c7-d615-4524-b94d-65f4164a2656.jpg?1730490687
Terror of the Peaks,Creature — Dragon,"Flying
Spells your opponents cast that target this creature cost an additional 3 life to cast.
Whenever another creature you control enters, this creature deals damage equal to that creature's power to any target.",R,5.0,mythic,Outlaws of Thunder Junction,2024-04-19,5,4,Flying,https://cards.scryfall.io/normal/front/9/0/904ff94a-4db4-44a6-8593-89c32905b3fc.jpg?1712355862
Terror Tide,Sorcery,"Fathomless descent — All creatures get -X/-X until end of turn, where X is the number of permanent cards in your graveyard.",B,4.0,rare,The Lost Caverns of Ixalan,2023-11-17,,,Fathomless descent,https://cards.scryfall.io/normal/front/0/a/0a281d2c-20b9-4887-a924-9be6c07b7629.jpg?1699044203
Tersa Lightshatter,Legendary Creature — Orc Wizard,"Haste
When Tersa Lightshatter enters, discard up to two cards, then draw that many cards.
Whenever Tersa Lightshatter attacks, if there are seven or more cards in your graveyard, exile a card at random from your graveyard. You may play that card this turn.",R,3.0,rare,Tarkir: Dragonstorm,2025-04-11,3,3,Haste,https://cards.scryfall.io/normal/front/9/9/99e96b34-b1c4-4647-a38e-2cf1aedaaace.jpg?1743204474
"Teval, Arbiter of Virtue",Legendary Creature — Spirit Dragon,"Flying, lifelink
Spells you cast have delve. (Each card you exile from your graveyard while casting those spells pays for {1}.)
Whenever you cast a spell, you lose life equal to its mana value.","B,G,U",5.0,mythic,Tarkir: Dragonstorm,2025-04-11,6,6,"Flying,Lifelink",https://cards.scryfall.io/normal/front/2/7/27a93f5b-7b32-49f0-a179-b897828fe49a.jpg?1743204911
"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,"Deathtouch
At the beginning of your end step, investigate for each opponent who lost life this turn.
Whenever a Clue you control is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying. This ability triggers only once each turn.","B,W",3.0,rare,Murders at Karlov Manor,2024-02-09,2,3,"Investigate,Deathtouch",https://cards.scryfall.io/normal/front/9/b/9b5a13dd-c2fd-432e-bc49-cc62d94d62a0.jpg?1706242259
"Tezzeret, Cruel Captain",Legendary Planeswalker — Tezzeret,"Whenever an artifact you control enters, put a loyalty counter on Tezzeret.
0: Untap target artifact or creature. If it's an artifact creature, put a +1/+1 counter on it.
−3: Search your library for an artifact card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
−7: You get an emblem with ""At the beginning of combat on your turn, put three +1/+1 counters on target artifact you control. If it's not a creature, it becomes a 0/0 Robot artifact creature.""",Colorless,3.0,mythic,Edge of Eternities,2025-08-01,,,,https://cards.scryfall.io/normal/front/0/2/02e8e540-8aa3-4e6a-9a11-c3949cab5f0f.jpg?1754473212
Thaumaton Torpedo,Artifact,"{6}, {T}, Sacrifice this artifact: Destroy target nonland permanent. This ability costs {3} less to activate if you attacked with a Spacecraft this turn.",Colorless,1.0,common,Edge of Eternities,2025-08-01,,,,https://cards.scryfall.io/normal/front/1/8/1817f1b5-960a-435c-bdec-8cc8cbcb3358.jpg?1752947563
Thawbringer,Creature — Insect Scout,"When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",G,3.0,common,Edge of Eternities,2025-08-01,4,2,Surveil,https://cards.scryfall.io/normal/front/0/b/0b7f934f-8eb4-408b-a55f-245ec5cc4a8a.jpg?1752947419
The Aetherspark,Legendary Artifact Planeswalker — Equipment,"As long as The Aetherspark is attached to a creature, The Aetherspark can't be attacked and has ""Whenever equipped creature deals combat damage during your turn, put that many loyalty counters on The Aetherspark.""
+1: Attach The Aetherspark to up to one target creature you control. Put a +1/+1 counter on that creature.
−5: Draw two cards.
−10: Add ten mana of any one color.",Colorless,4.0,mythic,Aetherdrift,2025-02-14,,,,https://cards.scryfall.io/normal/front/0/5/05690d52-06c4-40b1-8360-380418a83250.jpg?1748335068
The Ancient One,Legendary Creature — Spirit God,"Descend 8 — The Ancient One can't attack or block unless there are eight or more permanent cards in your graveyard.
{2}{U}{B}: Draw a card, then discard a card. When you discard a card this way, target player mills cards equal to its mana value.","B,U",2.0,mythic,The Lost Caverns of Ixalan,2023-11-17,8,8,"Descend,Mill",https://cards.scryfall.io/normal/front/6/6/66dd43d7-76a7-46ea-b431-097fcea417af.jpg?1699044521
The Apprentice's Folly,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Choose target nontoken creature you control that doesn't have the same name as a token you control. Create a token that's a copy of it, except it isn't legendary, is a Reflection in addition to its other types, and has haste.
III — Sacrifice all Reflections you control.","R,U",4.0,rare,Wilds of Eldraine,2023-09-08,,,,https://cards.scryfall.io/normal/front/0/e/0edb58bb-8ff3-4e34-b3d1-d83b5bd8c178.jpg?1692939254
The Belligerent,Legendary Artifact — Vehicle,"Whenever The Belligerent attacks, create a Treasure token. Until end of turn, you may look at the top card of your library any time, and you may play lands and cast spells from the top of your library.
Crew 3","R,U",4.0,rare,The Lost Caverns of Ixalan,2023-11-17,5,5,"Treasure,Crew",https://cards.scryfall.io/normal/front/1/4/1454af8c-bce9-47d3-890f-283e2fea2cf2.jpg?1700056774
The Chase Is On,Instant,"Target creature gets +3/+0 and gains first strike until end of turn. Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",R,3.0,common,Murders at Karlov Manor,2024-02-09,,,Investigate,https://cards.scryfall.io/normal/front/1/d/1d54d596-f7aa-4b05-ab13-19b246698c04.jpg?1706241834
The Clone Saga,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Surveil 3.
II — When you next cast a creature spell this turn, copy it, except the copy isn't legendary.
III — Choose a card name. Whenever a creature with the chosen name deals combat damage to a player this turn, draw a card.",U,4.0,rare,Marvel's Spider-Man,2025-09-26,,,Surveil,https://cards.scryfall.io/normal/front/9/7/976432b3-bc17-4edb-86d6-00fd1baf9670.jpg?1758203187
The Crystal's Chosen,Sorcery,Create four 1/1 colorless Hero creature tokens. Then put a +1/+1 counter on each creature you control.,W,7.0,uncommon,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/d/4/d4df4373-0ee6-44e3-81c6-0881c070014c.jpg?1748705806
The Darkness Crystal,Legendary Artifact,"Black spells you cast cost {1} less to cast.
If a nontoken creature an opponent controls would die, instead exile it and you gain 2 life.
{4}{B}{B}, {T}: Put target creature card exiled with The Darkness Crystal onto the battlefield tapped under your control with two additional +1/+1 counters on it.",B,4.0,rare,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/0/f/0f93b6ac-54ce-45d0-8549-19307406e6e5.jpg?1748706123
The Death of Gwen Stacy,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Destroy target creature.
II — Each player may discard a card. Each player who doesn't loses 3 life.
III — Exile any number of target players' graveyards.",B,3.0,rare,Marvel's Spider-Man,2025-09-26,,,,https://cards.scryfall.io/normal/front/6/9/690f1f31-f8c5-4336-9ec9-72ff761e3adc.jpg?1757377086
The Dominion Bracelet,Legendary Artifact — Equipment,"Equipped creature gets +1/+1 and has ""{15}, Exile The Dominion Bracelet: You control target opponent during their next turn. This ability costs {X} less to activate, where X is this creature's power. Activate only as a sorcery."" (You see all cards that player could see and make all decisions for them.)
Equip {1}",Colorless,2.0,mythic,Edge of Eternities,2025-08-01,,,Equip,https://cards.scryfall.io/normal/front/f/5/f5360880-2849-45d6-b1aa-08c7e01083af.jpg?1752947533
The Earth Crystal,Legendary Artifact,"Green spells you cast cost {1} less to cast.
If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on that creature instead.
{4}{G}{G}, {T}: Distribute two +1/+1 counters among one or two target creatures you control.",G,4.0,rare,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/d/5/d585e218-3dc8-4fbd-8ad2-795fbc9b2155.jpg?1748706448
The Emperor of Palamecia // The Lord Master of Hell,Legendary Creature — Human Noble Wizard // Legendary Creature — Demon Noble Wizard,,Colorless,2.0,uncommon,Final Fantasy,2025-06-13,,,"Starfall,Transform",
The End,Instant,"This spell costs {2} less to cast if your life total is 5 or less.
Exile target creature or planeswalker. Search its controller's graveyard, hand, and library for any number of cards with the same name as that permanent and exile them. That player shuffles, then draws a card for each card exiled from their hand this way.",B,4.0,rare,Wilds of Eldraine,2023-09-08,,,,https://cards.scryfall.io/normal/front/b/1/b18402dc-c4ab-417c-92d1-5e4d9cfb840d.jpg?1693012680
The Endstone,Legendary Artifact,"Whenever you play a land or cast a spell, draw a card.
At the beginning of your end step, your life total becomes half your starting life total, rounded up.",Colorless,7.0,mythic,Edge of Eternities,2025-08-01,,,,https://cards.scryfall.io/normal/front/a/4/a451a459-18e0-4c53-a171-3e9da534ebf1.jpg?1752947540
The Enigma Jewel // Locus of Enlightenment,Legendary Artifact // Legendary Artifact,,Colorless,1.0,mythic,The Lost Caverns of Ixalan,2023-11-17,,,"Craft,Transform",
The Eternity Elevator,Legendary Artifact — Spacecraft,"{T}: Add {C}{C}{C}.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery.)
STATION 20+
{T}: Add X mana of any one color, where X is the number of charge counters on The Eternity Elevator.",Colorless,5.0,rare,Edge of Eternities,2025-08-01,,,Station,https://cards.scryfall.io/normal/front/1/b/1bb90ab9-43b9-4991-806a-0afc4d8caf5f.jpg?1755341317
The Everflowing Well // The Myriad Pools,Legendary Artifact // Legendary Artifact Land,,Colorless,3.0,rare,The Lost Caverns of Ixalan,2023-11-17,,,"Transform,Descend,Mill",
The Final Days,Sorcery,"Create two tapped 2/2 black Horror creature tokens. If this spell was cast from a graveyard, instead create X of those tokens, where X is the number of creature cards in your graveyard.
Flashback {4}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",B,4.0,uncommon,Final Fantasy,2025-06-13,,,Flashback,https://cards.scryfall.io/normal/front/b/b/bbf01770-6d0f-4015-b4b4-a74a53cb767a.jpg?1748706140
The Fire Crystal,Legendary Artifact,"Red spells you cast cost {1} less to cast.
Creatures you control have haste.
{4}{R}{R}, {T}: Create a token that's a copy of target creature you control. Sacrifice it at the beginning of the next end step.",R,4.0,rare,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/e/a/ea430b17-2014-4b8e-b53f-43bcfc06f7cd.jpg?1748706272
"The Gitrog, Ravenous Ride",Legendary Creature — Frog Horror Mount,"Trample, haste
Whenever The Gitrog deals combat damage to a player, you may sacrifice a creature that saddled it this turn. If you do, draw X cards, then put up to X land cards from your hand onto the battlefield tapped, where X is the sacrificed creature's power.
Saddle 1","B,G",5.0,mythic,Outlaws of Thunder Junction,2024-04-19,6,5,"Saddle,Haste,Trample",https://cards.scryfall.io/normal/front/8/2/82512813-8618-483b-a7f0-e6a611d9d487.jpg?1712356103
The Gold Saucer,Land — Town,"{T}: Add {C}.
{2}, {T}: Flip a coin. If you win the flip, create a Treasure token.
{3}, {T}, Sacrifice two artifacts: Draw a card.",Colorless,0.0,uncommon,Final Fantasy,2025-06-13,,,Treasure,https://cards.scryfall.io/normal/front/5/3/5363c881-443d-43df-afd8-f81e1a1741a2.jpg?1748706827
The Goose Mother,Legendary Creature — Bird Hydra,"Flying
The Goose Mother enters with X +1/+1 counters on it.
When The Goose Mother enters, create half X Food tokens, rounded up.
Whenever The Goose Mother attacks, you may sacrifice a Food. If you do, draw a card.","G,U",2.0,rare,Wilds of Eldraine,2023-09-08,2,2,"Flying,Food",https://cards.scryfall.io/normal/front/1/a/1a55c370-d396-4c73-8ee2-83dc4c124005.jpg?1692939311
The Huntsman's Redemption,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Create a 3/3 green Beast creature token.
II — You may sacrifice a creature. If you do, search your library for a creature or basic land card, reveal it, put it into your hand, then shuffle.
III — Up to two target creatures each get +2/+2 and gain trample until end of turn.",G,3.0,rare,Wilds of Eldraine,2023-09-08,,,,https://cards.scryfall.io/normal/front/2/7/27003577-e276-4ad5-b3e9-8523b166ad49.jpg?1692938904
The Infamous Cruelclaw,Legendary Creature — Weasel Mercenary,"Menace
Whenever The Infamous Cruelclaw deals combat damage to a player, exile cards from the top of your library until you exile a nonland card. You may cast that card by discarding a card rather than paying its mana cost.","B,R",3.0,mythic,Bloomburrow,2024-08-02,3,3,Menace,https://cards.scryfall.io/normal/front/d/c/dc6c9196-6d28-4cc2-9748-60e9632a502b.jpg?1721427092
The Irencrag,Legendary Artifact,"{T}: Add {C}.
Whenever a legendary creature you control enters, you may have The Irencrag become a legendary Equipment artifact named Everflame, Heroes' Legacy. If you do, it gains equip {3} and ""Equipped creature gets +3/+3"" and loses all other abilities.",Colorless,2.0,rare,Wilds of Eldraine,2023-09-08,,,,https://cards.scryfall.io/normal/front/8/0/8051c5ec-54a6-45a8-8945-fb93c5feaa39.jpg?1692939899
The Jolly Balloon Man,Legendary Creature — Human Clown,"Haste
{1}, {T}: Create a token that's a copy of another target creature you control, except it's a 1/1 red Balloon creature in addition to its other colors and types and it has flying and haste. Sacrifice it at the beginning of the next end step. Activate only as a sorcery.","R,W",3.0,rare,Duskmourn: House of Horror,2024-09-27,1,4,Haste,https://cards.scryfall.io/normal/front/a/3/a3c4e2e0-1c0e-475d-a0f4-1be4216c2bad.jpg?1726286682
The Key to the Vault,Legendary Artifact — Equipment,"Whenever equipped creature deals combat damage to a player, look at that many cards from the top of your library. You may exile a nonland card from among them. Put the rest on the bottom of your library in a random order. You may cast the exiled card without paying its mana cost.
Equip {2}{U}",U,2.0,rare,Outlaws of Thunder Junction,2024-04-19,,,Equip,https://cards.scryfall.io/normal/front/1/6/166814af-a444-4a62-937e-7491673d9387.jpg?1712355445
The Last Ride,Legendary Artifact — Vehicle,"The Last Ride gets -X/-X, where X is your life total.
{2}{B}, Pay 2 life: Draw a card.
Crew 2",B,1.0,mythic,Aetherdrift,2025-02-14,13,13,Crew,https://cards.scryfall.io/normal/front/9/c/9cbb7b4e-bd32-44a0-9396-16738c5e4381.jpg?1738356332
The Lunar Whale,Legendary Artifact — Vehicle,"Flying
You may look at the top card of your library any time.
As long as The Lunar Whale attacked this turn, you may play the top card of your library.
Crew 1",U,4.0,rare,Final Fantasy,2025-06-13,3,5,"Flying,Crew",https://cards.scryfall.io/normal/front/a/e/ae875471-346c-4a76-b26f-b7205dad5b80.jpg?1748705980
The Masamune,Legendary Artifact — Equipment,"As long as equipped creature is attacking, it has first strike and must be blocked if able.
Equipped creature has ""If a creature dying causes a triggered ability of this creature or an emblem you own to trigger, that ability triggers an additional time.""
Equip {2}",Colorless,3.0,rare,Final Fantasy,2025-06-13,,,Equip,https://cards.scryfall.io/normal/front/f/c/fc408575-8ef7-4043-b6b7-b38cef7c97d1.jpg?1748706776
The Millennium Calendar,Legendary Artifact,"Whenever you untap one or more permanents during your untap step, put that many time counters on The Millennium Calendar.
{2}, {T}: Double the number of time counters on The Millennium Calendar.
When there are 1,000 or more time counters on The Millennium Calendar, sacrifice it and each opponent loses 1,000 life.",Colorless,1.0,mythic,The Lost Caverns of Ixalan,2023-11-17,,,,https://cards.scryfall.io/normal/front/d/e/deabba7f-05ef-41cf-ae3a-d950d051cf1e.jpg?1699044622
The Mindskinner,Legendary Enchantment Creature — Nightmare,"The Mindskinner can't be blocked.
If a source you control would deal damage to an opponent, prevent that damage and each opponent mills that many cards.",U,3.0,rare,Duskmourn: House of Horror,2024-09-27,10,1,Mill,https://cards.scryfall.io/normal/front/7/f/7f1bb4c5-99be-46cc-ad54-7affb5f0144c.jpg?1726286101
The Mycotyrant,Legendary Creature — Elder Fungus,"Trample
The Mycotyrant's power and toughness are each equal to the number of creatures you control that are Fungi and/or Saprolings.
At the beginning of your end step, create X 1/1 black Fungus creature tokens with ""This token can't block,"" where X is the number of times you descended this turn. (You descend each time a permanent card is put into your graveyard from anywhere.)","B,G",3.0,mythic,The Lost Caverns of Ixalan,2023-11-17,*,*,Trample,https://cards.scryfall.io/normal/front/c/a/caef93cc-70d0-4cce-9aaa-13c0931b2ef7.jpg?1699044561
The Pride of Hull Clade,Legendary Creature — Crocodile Elk Turtle,"This spell costs {X} less to cast, where X is the total toughness of creatures you control.
Defender
{2}{U}{U}: Until end of turn, target creature you control gets +1/+0, gains ""Whenever this creature deals combat damage to a player, draw cards equal to its toughness,"" and can attack as though it didn't have defender.",G,11.0,mythic,Murders at Karlov Manor,2024-02-09,2,15,Defender,https://cards.scryfall.io/normal/front/e/d/edb40ab9-e552-4eb5-9c35-09094136dd4f.jpg?1706242068
The Prima Vista,Legendary Artifact — Vehicle,"Flying
Whenever you cast a noncreature spell, if at least four mana was spent to cast it, The Prima Vista becomes an artifact creature until end of turn.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",U,5.0,uncommon,Final Fantasy,2025-06-13,5,3,"Flying,Crew",https://cards.scryfall.io/normal/front/e/3/e3998132-5746-4dde-9529-97d3ad7d7361.jpg?1748705994
The Princess Takes Flight,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Exile up to one target creature.
II — Target creature you control gets +2/+2 and gains flying until end of turn.
III — Return the exiled card to the battlefield under its owner's control.",W,3.0,uncommon,Wilds of Eldraine,2023-09-08,,,,https://cards.scryfall.io/normal/front/d/a/dad7bd06-22e4-40f8-bda9-bcdbb2d8f632.jpg?1692936604
The Regalia,Legendary Artifact — Vehicle,"Haste
Whenever The Regalia attacks, reveal cards from the top of your library until you reveal a land card. Put that card onto the battlefield tapped and the rest on the bottom of your library in a random order.
Crew 1",Colorless,4.0,rare,Final Fantasy,2025-06-13,4,4,"Haste,Crew",https://cards.scryfall.io/normal/front/d/c/dc420e79-c483-474f-97cd-e9c6a636c306.jpg?1748706782
The Rollercrusher Ride,Legendary Enchantment,"Delirium — If a source you control would deal noncombat damage to a permanent or player while there are four or more card types among cards in your graveyard, it deals double that damage instead.
When The Rollercrusher Ride enters, it deals X damage to each of up to X target creatures.",R,3.0,mythic,Duskmourn: House of Horror,2024-09-27,,,Delirium,https://cards.scryfall.io/normal/front/7/0/70019956-fca1-4090-b3b6-6a963528e05b.jpg?1726286431
The Seriema,Legendary Artifact — Spacecraft,"When The Seriema enters, search your library for a legendary creature card, reveal it, put it into your hand, then shuffle.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
STATION 7+
Flying
Other tapped legendary creatures you control have indestructible.",W,3.0,rare,Edge of Eternities,2025-08-01,5,5,"Flying,Station",https://cards.scryfall.io/normal/front/d/e/dec91ec3-42d3-4922-96f0-dbb50a576084.jpg?1755341202
The Sibsig Ceremony,Legendary Enchantment,"Creature spells you cast cost {2} less to cast.
Whenever a creature you control enters, if you cast it, destroy that creature, then create a 2/2 black Zombie Druid creature token.",B,3.0,rare,Tarkir: Dragonstorm,2025-04-11,,,,https://cards.scryfall.io/normal/front/5/a/5a9f2a62-1c61-4d2e-86d9-18cd84c31748.jpg?1743204325
The Skullspore Nexus,Legendary Artifact,"This spell costs {X} less to cast, where X is the greatest power among creatures you control.
Whenever one or more nontoken creatures you control die, create a green Fungus Dinosaur creature token with base power and toughness each equal to the total power of those creatures.
{2}, {T}: Double target creature's power until end of turn.",G,8.0,mythic,The Lost Caverns of Ixalan,2023-11-17,,,,https://cards.scryfall.io/normal/front/b/5/b56a7631-5f94-468d-aab7-7e9e129c5f49.jpg?1699044489
The Soul Stone,Legendary Artifact — Infinity Stone,"Indestructible
{T}: Add {B}.
{6}{B}, {T}, Exile a creature you control: Harness The Soul Stone. (Once harnessed, its ∞ ability is active.)
∞ — At the beginning of your upkeep, return target creature card from your graveyard to the battlefield.",B,2.0,mythic,Marvel's Spider-Man,2025-09-26,,,Indestructible,https://cards.scryfall.io/normal/front/1/9/1982f910-a9bd-4e94-a187-84381b22aacc.jpg?1757377171
The Speed Demon,Legendary Creature — Demon,"Flying, trample
Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
At the beginning of your end step, you draw X cards and lose X life, where X is your speed.",B,5.0,mythic,Aetherdrift,2025-02-14,5,5,"Flying,Trample,Start your engines!",https://cards.scryfall.io/normal/front/6/2/62242a80-0444-4a0e-a868-97eabcc77648.jpg?1738356357
"The Spot, Living Portal",Legendary Creature — Human Scientist Villain,"When The Spot enters, exile up to one target nonland permanent and up to one target nonland permanent card from a graveyard.
When The Spot dies, put him on the bottom of his owner's library. If you do, return the exiled cards to their owners' hands.","B,W",5.0,rare,Marvel's Spider-Man,2025-09-26,4,4,,https://cards.scryfall.io/normal/front/0/9/09081740-1180-48ea-b50b-e016d9c3828a.jpg?1757377906
The Spot's Portal,Instant,Put target creature on the bottom of its owner's library. You lose 2 life unless you control a Villain.,B,3.0,uncommon,Marvel's Spider-Man,2025-09-26,,,,https://cards.scryfall.io/normal/front/6/7/67a8bf52-7562-4cdd-b970-106717a0aad6.jpg?1758215890
The Swarmweaver,Legendary Artifact Creature — Scarecrow,"When The Swarmweaver enters, create two 1/1 black and green Insect creature tokens with flying.
Delirium — As long as there are four or more card types among cards in your graveyard, Insects and Spiders you control get +1/+1 and have deathtouch.","B,G",4.0,rare,Duskmourn: House of Horror,2024-09-27,2,3,Delirium,https://cards.scryfall.io/normal/front/d/c/dcf3b17b-f2f6-4702-864d-8c96100b0563.jpg?1726286750
The Tale of Tamiyo,Legendary Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.)
I, II, III — Mill two cards. If two cards that share a card type were milled this way, draw a card and repeat this process.
IV — Exile any number of target instant, sorcery, and/or Tamiyo planeswalker cards from your graveyard. Copy them. You may cast any number of the copies.",U,3.0,rare,Duskmourn: House of Horror,2024-09-27,,,Mill,https://cards.scryfall.io/normal/front/a/a/aaeba193-05d3-4c2d-a304-bbe7114c2eef.jpg?1726326895
The Wandering Minstrel,Legendary Creature — Human Bard,"Lands you control enter untapped.
The Minstrel's Ballad — At the beginning of combat on your turn, if you control five or more Towns, create a 2/2 Elemental creature token that's all colors.
{3}{W}{U}{B}{R}{G}: Other creatures you control get +X/+X until end of turn, where X is the number of Towns you control.","G,U",2.0,rare,Final Fantasy,2025-06-13,1,3,,https://cards.scryfall.io/normal/front/7/7/77bc419d-ff69-4e7c-afe6-faca383a5ed7.jpg?1748706723
The Wandering Rescuer,Legendary Creature — Human Samurai Noble,"Flash
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Double strike
Other tapped creatures you control have hexproof.",W,5.0,mythic,Duskmourn: House of Horror,2024-09-27,3,4,"Double strike,Flash,Convoke",https://cards.scryfall.io/normal/front/e/1/e1ccca86-df8b-4fd9-8fdf-0a5a7b14cdee.jpg?1726286008
The Water Crystal,Legendary Artifact,"Blue spells you cast cost {1} less to cast.
If an opponent would mill one or more cards, they mill that many cards plus four instead.
{4}{U}{U}, {T}: Each opponent mills cards equal to the number of cards in your hand.",U,4.0,rare,Final Fantasy,2025-06-13,,,Mill,https://cards.scryfall.io/normal/front/e/0/e0af8436-797b-4e1f-b21a-d8e93701c3c9.jpg?1748706080
The Wind Crystal,Legendary Artifact,"White spells you cast cost {1} less to cast.
If you would gain life, you gain twice that much life instead.
{4}{W}{W}, {T}: Creatures you control gain flying and lifelink until end of turn.",W,4.0,rare,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/1/9/19bd0885-baaa-40f2-9c59-b1ea53807540.jpg?1748705917
The Witch's Vanity,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Destroy target creature an opponent controls with mana value 2 or less.
II — Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
III — Create a Wicked Role token attached to target creature you control.",B,2.0,uncommon,Wilds of Eldraine,2023-09-08,,,"Role token,Food",https://cards.scryfall.io/normal/front/4/7/47ca4926-b5ac-405a-8b58-f8db6df400ff.jpg?1692938058
